school_id,school_url,page_load_time_ms,page_width,page_height,NDOM_nodes,NDOM_height,page_template,menu_orientation,num_clickable_multim,metric,task1,task2,task3,task4,task5,task6,task7,task8
CBSL00201A,https://www.liceopagano.edu.it,223,1604,848,1,0,9.0,2.0,14.0,3.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
RGTD03002X,https://www.itcbesta.edu.it,822,1587,2442,162,7,6.0,1.0,11.0,3.7,1.37,2.1,2.75,6.5,2.1,5.6,3.83,6.5
CSPS07301E,https://www.iismarconiguarasci.edu.it/,1059,1587,2533,348,3,3.0,3.0,15.0,3.8,1.3,1.65,3.07,3.3,1.92,0.3,6.5,2.51
RERA014014,https://iiscastelnovonemonti.edu.it/,7054,1587,4499,427,7,5.0,1.0,7.0,4.4,2.92,2.58,2.93,3.17,6.5,2.91,4.28,2.58
BSRC028018,https://sraffa.edu.it/,1811,1587,6139,303,6,8.0,1.0,14.0,3.7,2.6,1.86,2.59,2.98,6.5,3.31,2.96,1.86
AGPS00101A,https://www.liceocanicatti.edu.it,923,1587,3909,156,5,9.0,3.0,20.0,3.2,2.86,2.36,2.25,6.5,2.84,6.5,2.9,2.28
PIPS04000G,https://www.liceofilippobuonarroti.it,4047,2100,2985,448,9,6.0,1.0,10.0,3.5,3.25,6.5,3.12,3.94,3.93,6.5,6.5,3.52
GERC004014,https://www.ECG-GENOVA.edu.IT,1719,1587,4121,211,7,8.0,1.0,8.0,3.5,3.25,2.46,3.24,3.7,6.5,6.5,6.83,2.46
BORI024024,https://www.malpighi-crevalcore.it,1846,1587,4091,213,7,8.0,1.0,5.0,3.3,3.5,3.05,3.5,3.82,6.5,6.5,5.42,3.05
BARH05801Q,https://www.iissmorotrani.edu.it,1719,1587,4335,223,7,8.0,1.0,13.0,4.0,3.11,2.46,3.1,3.5,6.5,6.5,6.5,2.46
BRPS030007,https://www.liceoribezzo.edu.it,3800,1587,6209,266,7,8.0,1.0,15.0,3.6,3.11,2.46,3.1,3.5,6.5,6.5,9.47,2.46
AVRI021013,https://www.iissrinaldodaquino.it,1203,1587,4141,351,7,5.0,1.0,0.0,4.3,3.1,2.79,3.1,3.31,6.5,9.88,4.84,2.79
PTRC010007,https://www.isteinaudi.edu.it/luigieinaudi/index.php,4005,1587,9978,659,11,1.0,1.0,8.0,3.0,3.47,2.27,2.94,3.54,3.37,3.33,7.0,3.43
VATF00901C,http://www.superiorisesto.edu.it/web/index.php/it/old/120-MISC/221-redirect-vecchio-sito?,1355,1587,1458,143,9,9.0,1.0,0.0,3.5,4.44,2.14,6.5,6.5,6.5,6.5,6.5,3.21
LETF00301P,https://www.qubodisco.it/,2088,1587,4080,211,4,1.0,1.0,0.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
CNPC007015,https://www.iisgovonealba.it/,4543,1587,6811,275,7,8.0,1.0,16.0,3.2,3.11,2.46,3.1,3.49,6.5,6.5,9.57,2.46
RERI090008,https://www.galvaniiodi.it,3606,1587,3785,352,7,5.0,1.0,3.0,4.4,3.1,2.79,3.1,3.31,6.5,9.16,4.87,2.79
BAPS06201N,https://www.istitutoromanazzi.it/,3720,1587,4080,359,7,5.0,1.0,0.0,4.1,3.1,2.79,3.1,3.3,6.5,9.78,4.88,2.79
SRTF00901L,https://www.2superioreaugusta.edu.it,2696,1587,5235,451,5,9.0,1.0,20.0,2.8,1.06,6.5,6.5,2.66,7.88,6.5,8.13,0.9
LUTD004012,https://www.isigarfagnana.edu.it,2072,1587,4267,339,7,5.0,1.0,3.0,4.2,3.1,2.79,3.1,3.31,6.5,10.03,4.81,2.79
BSRH02000T,https://www.alberghierodemedici.edu.it,2533,1587,5005,266,7,8.0,1.0,18.0,3.5,3.08,2.46,3.07,3.44,6.5,6.5,7.37,2.46
MIRI21000E,https://ipsiacernusco.edu.it/,1782,1587,4758,414,7,5.0,1.0,3.0,4.5,2.99,2.58,2.98,9.53,6.5,10.59,2.11,2.58
RMPS02801A,https://www.iiscartesio.EDU.IT,1432,1587,7507,305,6,2.0,3.0,38.0,3.4,6.3,25.17,6.65,12.45,25.19,24.75,6.5,31.62
METD009011,https://www.istitutosuperioreminutoli.edu.it/wordpress/,3606,1593,8530,598,12,1.0,1.0,31.0,3.2,3.59,2.96,3.49,14.35,3.26,10.58,8.65,3.29
MOTD00301E,https://www.meuccicarpi.edu.it,2090,1587,4697,245,7,8.0,1.0,18.0,3.5,3.11,2.46,3.1,3.51,6.5,6.5,7.5,2.46
MIPS02301P,https://www.iiscardano.edu.it,3529,1587,6608,364,7,8.0,1.0,16.0,3.6,3.58,2.99,3.57,3.94,6.5,6.5,10.68,2.99
BLPS00701R,https://liceibelluno.edu.it/,1133,1587,4290,318,7,5.0,1.0,3.0,4.4,2.89,2.58,2.89,3.09,6.5,9.68,6.5,2.58
BGPS01301D,https://www.istitutoturoldo.edu.it,1431,1587,2367,201,5,4.0,3.0,5.0,4.6,2.44,1.5,6.5,6.5,1.64,1.56,3.01,6.5
PORI010006,https://www.marconiprato.edu.it,3719,1587,2673,284,5,4.0,3.0,15.0,4.2,3.94,6.5,6.5,2.38,1.55,6.5,1.19,0.85
PCTF00601P,https://www.isii.it,4988,1587,7255,310,7,8.0,1.0,33.0,3.0,3.11,2.46,3.1,3.5,6.3,6.5,10.85,2.46
BATD007011,https://www.iisseinaudi.edu.it/,21751,1587,10716,413,5,9.0,1.0,65.0,2.9,6.5,6.5,2.35,2.54,3.47,1.76,6.5,1.06
AVTD023019,https://www.istitutosuperioreruggerosecondo.edu.it,1088,1587,7193,756,11,9.0,1.0,14.0,2.9,7.0,1.41,7.0,3.15,4.67,7.0,7.0,2.45
LERI03303Q,http://www.iissparabita.edu.it/,3101,1587,5038,412,7,5.0,1.0,3.0,4.0,2.94,2.58,2.94,3.18,6.5,2.2,6.28,2.58
NAPS00601E,https://www.isisrosariolivatino.edu.it,205,1604,848,1,0,7.0,1.0,0.0,3.8,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
RNPS02000L,https://www.einsteinrimini.edu.it/,3204,1587,2310,209,7,4.0,3.0,18.0,4.5,3.72,1.48,1.11,2.38,1.53,6.5,3.56,2.73
CSTF06402V,https://www.itisrossano.it,3239,1587,3607,503,8,9.0,3.0,12.0,3.9,0.9,2.7,1.2,7.0,1.0,7.0,0.96,0.9
UDTN00401Q,https://www.isislatisana.it,1117,1604,797,5,1,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
MOPS050007,https://www.liceowiligelmo.edu.it,3210,1587,4413,246,7,8.0,1.0,20.0,3.5,3.9,3.25,3.89,7.17,3.25,3.51,6.5,9.2
KRRC00901E,https://www.pertinikr.it,738,1604,848,1,0,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
PTRH01000C,https://www.alberghieromontecatini.edu.it,1057,1587,2394,194,7,6.0,1.0,4.0,4.2,2.72,2.1,6.5,6.5,2.1,5.43,4.95,6.5
PGTF003013,https://salvatorellimoneta.edu.it/,1222,1587,3764,405,7,5.0,1.0,12.0,4.1,2.91,2.58,2.92,3.15,6.5,2.9,3.77,2.58
REPS016016,https://www.pascal.edu.it,1250,1587,3005,207,6,9.0,3.0,26.0,3.9,6.5,1.78,2.41,2.48,2.72,6.5,3.14,2.84
CSPS18000D,https://www.ilpitagora.edu.it,42461,1587,4976,506,11,9.0,1.0,0.0,4.5,4.18,3.16,3.92,3.4,3.18,7.0,4.63,3.16
VIPC023017,https://www.liceocorradini.edu.it,1928,1587,4958,223,7,8.0,1.0,26.0,3.3,3.81,3.25,3.8,4.16,6.5,6.5,6.5,3.25
PRTD02000E,https://www.itemelloni.edu.it,4197,1587,3675,404,5,9.0,1.0,19.0,3.0,3.62,6.5,6.5,0.99,0.91,6.5,6.5,6.5
AGPC001017,https://www.liceocanicatti.edu.it,900,1587,3909,156,5,9.0,3.0,24.0,3.4,2.86,2.36,2.25,6.5,2.84,6.5,2.9,2.28
BOTF02401X,https://www.malpighi-crevalcore.it,1872,1587,4091,213,7,8.0,1.0,15.0,3.1,3.5,3.05,3.5,3.82,6.5,6.5,5.42,3.05
NATN01301B,https://www.donmilanigragnano.edu.it,1757,1587,3827,478,7,7.0,1.0,4.0,4.1,3.12,2.28,3.12,3.61,6.5,5.26,5.05,2.28
SRTD00901A,https://www.2superioreaugusta.edu.it,2542,1587,5235,451,5,9.0,1.0,29.0,2.9,1.06,6.5,6.5,2.66,7.88,6.5,8.13,0.9
PZTD009014,https://www.iissbattaglini.edu.it,2859,1587,4811,569,11,7.0,1.0,5.0,3.9,4.01,2.24,3.74,7.99,3.9,4.83,0.3,2.97
LUPS004016,https://www.isigarfagnana.edu.it,3765,1587,3560,318,7,5.0,1.0,0.0,4.3,3.1,2.79,3.1,3.31,6.5,8.5,3.27,2.79
NAPS27000E,https://www.liceocarlomiranda.it,677,1587,5971,490,9,6.0,2.0,6.0,3.4,2.55,4.65,3.11,3.56,4.19,6.5,13.92,1.93
RMPS031016,https://www.iiscartesio.EDU.IT,1607,1587,7507,305,6,2.0,3.0,34.0,3.5,6.3,25.17,6.65,12.45,25.19,24.75,6.5,31.62
VBTD00301T,https://www.marconigalletti.it,4277,1587,6686,352,11,9.0,1.0,20.0,3.6,6.5,43.2,43.2,6.5,43.2,6.5,6.5,30.92
MORC003017,https://www.meuccicarpi.edu.it,1871,1587,4697,245,7,8.0,1.0,18.0,3.7,3.11,2.46,3.1,3.51,6.5,6.5,7.5,2.46
SVTF00301V,https://www.patettacairo.edu.it,2188,1587,3774,240,7,8.0,1.0,7.0,3.9,3.12,2.46,3.11,3.51,6.5,6.5,6.5,2.46
BGPC02000C,https://liceosarpi.bg.it/,722,1587,3503,314,7,5.0,1.0,18.0,4.1,2.89,2.58,2.89,3.08,6.5,7.95,1.96,2.58
BGTF01301G,https://www.istitutoturoldo.it,1717,1587,2619,197,7,7.0,1.0,8.0,4.4,53.32,53.17,54.2,6.5,53.23,7.31,53.99,6.5
SATF06702G,https://www.iismatteifortunato.edu.it,935,1587,3252,331,9,7.0,1.0,8.0,4.1,53.23,53.27,54.52,6.5,6.5,9.32,54.31,3.83
TOPS01000G,https://www.lsgramsci.it,1809,1587,4488,331,8,9.0,3.0,0,4.4,2.56,3.44,6.5,6.5,4.05,1.48,1.06,8.52
CBTD00701C,https://www.iissbojano.edu.it,3783,1587,4245,431,7,9.0,1.0,0.0,4.5,2.56,4.61,5.59,6.11,6.5,11.19,6.5,4.61
MIRC061012,https://www.iisbellisario.edu.it,3702,1587,6262,456,8,2.0,3.0,6.0,3.4,38.63,3.62,4.61,74.15,37.99,6.5,39.06,2.48
VRPS00801L,https://www.guarinoveronese.edu.it/,2774,1587,6259,250,7,8.0,1.0,11.0,3.4,3.11,2.46,3.1,3.5,6.5,6.5,6.5,2.46
TOTD06401R,https://www.coplux.edu.it,708,1820,2133,206,8,9.0,1.0,0.0,3.3,8.0,6.5,8.0,9.19,2.56,2.13,2.03,29.08
SSPS024014,https://www.iisantoniosegni.edu.it,3861,1587,3218,330,5,4.0,3.0,9.0,4.0,1.01,2.12,1.45,3.34,2.22,3.21,1.5,1.06
RMRI07701R,https://www.scuolesuperioridizagarolo.edu.it,2921,1587,4964,688,9,9.0,1.0,17.0,3.5,0.3,2.38,7.07,6.57,5.57,9.99,5.83,2.37
LESL033019,http://www.iissparabita.edu.it/,2570,1587,5038,412,7,5.0,1.0,0.0,4.4,2.94,2.58,2.94,3.18,6.5,2.2,6.28,2.58
VIRI02201Q,https://www.iisvaldagno.it,808,1587,3266,656,9,9.0,1.0,0.0,4.4,2.77,2.23,2.23,4.65,2.23,5.99,2.23,2.23
PDPC001011,https://www.iismarchesi.edu.it,2020,1587,4001,282,7,8.0,1.0,15.0,4.1,5.53,2.09,3.06,2.14,2.09,6.5,3.86,3.67
NARI00601Q,https://www.istitutoalberghierougotognazzi.edu.it/,3431,1587,3563,368,9,9.0,1.0,20.0,3.1,35.2,34.62,29.36,35.72,34.88,29.54,6.5,35.19
MTTF01101D,https://www.loperfido-olivetti.edu.it,3969,1587,4082,384,7,5.0,1.0,6.0,4.4,3.1,2.79,3.1,3.31,6.5,9.81,4.88,2.79
CNRI02901A,https://www.cigna-baruffi-garelli.edu.it,953,1587,1828,366,9,9.0,1.0,23.0,3.6,1.2,0.9,0.9,6.5,6.5,6.5,1.48,6.5
CTTH007018,https://www.politecnicodelmare.it,251,1588,0,1,0,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
LETH00701D,https://www.avespucci.edu.it,1316,1587,4292,364,9,9.0,1.0,10.0,3.6,6.5,1.13,1.05,1.23,1.15,6.5,6.5,1.15
MNPC02000G,https://www.liceovirgiliomantova.edu.it,2747,1587,7746,324,7,8.0,1.0,30.0,3.3,3.19,2.46,3.19,3.61,6.5,6.5,8.45,2.46
SPRH010006,https://www.alberghierolaspezia.edu.it,1681,1587,4170,204,7,8.0,1.0,12.0,2.9,6.5,3.21,1.85,6.5,3.21,6.5,6.5,3.86
BGRI00601G,https://gbrubini.edu.it/,1212,1587,3737,363,7,5.0,1.0,0.0,4.5,3.1,2.79,3.1,3.31,6.5,9.11,4.92,2.79
BGRA027011,https://agrariacantoni.edu.it/,1256,1587,3408,290,5,4.0,3.0,20.0,4.5,2.62,1.6,3.14,2.77,1.8,3.74,0.87,3.24
BATD220004,https://www.itesbitonto.edu.it,285,1588,0,1,0,9.0,1.0,0.0,3.8,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
MOPS080003,https://www.liceoformiggini.edu.it/,2879,1587,4237,344,7,8.0,1.0,14.0,3.9,6.5,2.99,3.68,4.08,2.01,6.5,3.0,3.82
BSTD02201L,https://www.iisdandolo.edu.it,1337,1587,3343,524,6,9.0,1.0,4.0,3.4,0.91,2.09,0.6,3.03,3.38,4.37,0.9,0.63
RMTD03401D,http://iissambrosoli.edu.it/sitonuovo,3163,1587,3646,442,7,9.0,1.0,4.0,3.4,1.3,3.08,4.61,7.27,1.33,1.21,0.3,0.6
CSPS03000G,https://www.liceoscorza.edu.it,615,1587,6832,492,7,5.0,1.0,9.0,4.2,2.89,2.58,2.89,3.08,6.5,15.44,13.11,2.58
PRRI010009,https://ipsialevi.edu.it/,1323,1587,4920,353,7,5.0,1.0,18.0,3.8,2.9,2.58,2.89,4.35,2.58,10.89,6.5,2.58
BRPS11000V,https://www.liceopepecalamo.edu.it,1390,1587,3357,202,7,8.0,1.0,4.0,4.4,3.11,2.46,3.1,3.5,6.5,6.5,5.35,2.46
SARA010027,https://www.profagrisalerno.edu.it,2265,1587,2817,280,7,6.0,1.0,20.0,3.5,1.81,2.7,1.81,2.6,2.7,7.15,1.81,6.5
PCRC00301N,https://www.romagnosi.it,2140,1587,4331,248,7,8.0,1.0,0.0,3.7,3.11,2.46,3.1,3.5,6.5,6.5,6.5,2.46
CZRA00301N,https://www.costanzoscuole.it,1625,1588,139,3,1,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
MNPS010004,https://www.liceobelfioremantova.it,1700,1587,3041,347,7,5.0,1.0,6.0,4.6,6.5,2.79,3.1,3.36,6.5,7.54,4.68,2.79
GETH020002,https://www.itnautico.edu.it,1456,1587,7666,178,7,9.0,1.0,0.0,4.6,6.01,2.84,3.76,3.76,5.04,15.95,6.5,1.56
GERC02201N,https://istitutorosselli.edu.it/,1084,1587,2910,118,5,7.0,1.0,3.0,4.0,6.5,6.5,1.32,1.8,6.5,6.5,6.5,6.64
FOPS040002,https://www.liceocalboli.edu.it,763,1587,4693,400,7,9.0,1.0,0.0,4.1,3.08,2.52,5.13,3.39,5.44,3.16,2.79,9.43
TVPC01000R,https://www.liceocanova.edu.it/,327,1587,3490,336,7,5.0,1.0,6.0,4.4,6.5,2.58,2.89,3.13,6.5,8.45,6.5,2.58
VVTD01000L,https://www.itegalilei.edu.it,656,1587,3772,374,7,5.0,1.0,6.0,4.4,2.89,2.58,2.89,3.08,6.5,8.67,6.15,2.58
SVTD00301L,https://www.patettacairo.edu.it,2182,1587,3774,240,7,8.0,1.0,7.0,4.0,3.12,2.46,3.11,3.51,6.5,6.5,6.5,2.46
CEPS110004,http://www.liceogarofano.it/jml3,5221,1587,5505,242,7,8.0,1.0,20.0,3.6,4.8,2.46,3.26,2.76,2.46,6.5,6.5,1.93
TVSL022014,https://www.istitutorosselli.net,1685,1587,3904,239,7,8.0,1.0,12.0,3.6,3.15,2.46,3.14,3.53,8.71,6.5,5.04,2.46
RMTF123016,https://www.itisgiovannixxiii.it,1877,1587,5045,236,5,9.0,1.0,1.0,-1.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
